date,state,fips,cases,deaths
2020-12-27,Alabama,01,345628,4691
2020-12-27,Alaska,02,45547,192
2020-12-27,Arizona,04,494489,8427
2020-12-27,Arkansas,05,214877,3482
2020-12-27,California,06,2167233,24283
2020-12-27,Colorado,08,326276,4660
2020-12-27,Connecticut,09,172743,5791
2020-12-27,Delaware,10,55057,897
2020-12-27,District of Columbia,11,28202,768
2020-12-27,Florida,12,1271971,21211
2020-12-27,Georgia,13,610574,10356
2020-12-27,Guam,66,8239,122
2020-12-27,Hawaii,15,21064,283
2020-12-27,Idaho,16,136281,1357
2020-12-27,Illinois,17,939671,17336
2020-12-27,Indiana,18,496795,7843
2020-12-27,Iowa,19,275299,3745
2020-12-27,Kansas,20,213173,2507
2020-12-27,Kentucky,21,258820,2845
2020-12-27,Louisiana,22,299722,7291
2020-12-27,Maine,23,21880,323
2020-12-27,Maryland,24,267455,5712
2020-12-27,Massachusetts,25,352736,12110
2020-12-27,Michigan,26,515576,12680
2020-12-27,Minnesota,27,409120,5206
2020-12-27,Mississippi,28,206388,4606
2020-12-27,Missouri,29,404201,5656
2020-12-27,Montana,30,79780,924
2020-12-27,Nebraska,31,162202,1584
2020-12-27,Nevada,32,217653,2965
2020-12-27,New Hampshire,33,40809,708
2020-12-27,New Jersey,34,463166,18630
2020-12-27,New Mexico,35,137968,2348
2020-12-27,New York,36,928376,37000
2020-12-27,North Carolina,37,517449,6592
2020-12-27,North Dakota,38,91472,1273
2020-12-27,Northern Mariana Islands,69,122,2
2020-12-27,Ohio,39,670525,8509
2020-12-27,Oklahoma,40,279139,2370
2020-12-27,Oregon,41,109734,1436
2020-12-27,Pennsylvania,42,614303,15040
2020-12-27,Puerto Rico,72,106842,1445
2020-12-27,Rhode Island,44,82066,1704
2020-12-27,South Carolina,45,296179,5155
2020-12-27,South Dakota,46,97390,1446
2020-12-27,Tennessee,47,549299,6451
2020-12-27,Texas,48,1691515,27110
2020-12-27,Utah,49,264874,1214
2020-12-27,Vermont,50,7029,127
2020-12-27,Virgin Islands,78,1979,23
2020-12-27,Virginia,51,333576,4854
2020-12-27,Washington,53,241036,3283
2020-12-27,West Virginia,54,80710,1254
2020-12-27,Wisconsin,55,508580,5042
2020-12-27,Wyoming,56,43200,373
