date,state,fips,cases,deaths
2021-01-10,Alabama,01,401900,5334
2021-01-10,Alaska,02,49935,215
2021-01-10,Arizona,04,618546,10141
2021-01-10,Arkansas,05,255076,4043
2021-01-10,California,06,2729525,30000
2021-01-10,Colorado,08,363019,5279
2021-01-10,Connecticut,09,205994,6324
2021-01-10,Delaware,10,65273,972
2021-01-10,District of Columbia,11,31791,817
2021-01-10,Florida,12,1477002,22911
2021-01-10,Georgia,13,732121,11097
2021-01-10,Guam,66,8381,125
2021-01-10,Hawaii,15,23300,306
2021-01-10,Idaho,16,149742,1536
2021-01-10,Illinois,17,1031288,19295
2021-01-10,Indiana,18,566670,8985
2021-01-10,Iowa,19,296682,4138
2021-01-10,Kansas,20,245529,3148
2021-01-10,Kentucky,21,306823,3224
2021-01-10,Louisiana,22,346829,7873
2021-01-10,Maine,23,29298,432
2021-01-10,Maryland,24,306853,6272
2021-01-10,Massachusetts,25,432791,13151
2021-01-10,Michigan,26,560475,14134
2021-01-10,Minnesota,27,436640,5775
2021-01-10,Mississippi,28,239082,5167
2021-01-10,Missouri,29,450886,6316
2021-01-10,Montana,30,86324,1056
2021-01-10,Nebraska,31,176200,1803
2021-01-10,Nevada,32,248758,3470
2021-01-10,New Hampshire,33,51600,869
2021-01-10,New Jersey,34,584828,19886
2021-01-10,New Mexico,35,156157,2751
2021-01-10,New York,36,1135849,39208
2021-01-10,North Carolina,37,623503,7609
2021-01-10,North Dakota,38,94724,1360
2021-01-10,Northern Mariana Islands,69,125,2
2021-01-10,Ohio,39,777065,9627
2021-01-10,Oklahoma,40,331362,2761
2021-01-10,Oregon,41,125683,1607
2021-01-10,Pennsylvania,42,725506,17780
2021-01-10,Puerto Rico,72,116734,1630
2021-01-10,Rhode Island,44,97614,1916
2021-01-10,South Carolina,45,354525,5811
2021-01-10,South Dakota,46,103318,1585
2021-01-10,Tennessee,47,641123,7715
2021-01-10,Texas,48,1967859,30599
2021-01-10,Utah,49,305999,1393
2021-01-10,Vermont,50,8967,156
2021-01-10,Virgin Islands,78,2042,23
2021-01-10,Virginia,51,398856,5383
2021-01-10,Washington,53,276333,3776
2021-01-10,West Virginia,54,101212,1582
2021-01-10,Wisconsin,55,550260,5571
2021-01-10,Wyoming,56,46832,489
