date,state,fips,cases,deaths
2021-03-17,Alabama,01,509476,10363
2021-03-17,Alaska,02,60451,293
2021-03-17,Arizona,04,834329,16586
2021-03-17,Arkansas,05,327781,5507
2021-03-17,California,06,3631245,56952
2021-03-17,Colorado,08,447840,6136
2021-03-17,Connecticut,09,294328,7807
2021-03-17,Delaware,10,91123,1516
2021-03-17,District of Columbia,11,42811,1044
2021-03-17,Florida,12,1989016,32503
2021-03-17,Georgia,13,1013340,17801
2021-03-17,Guam,66,8745,135
2021-03-17,Hawaii,15,28423,448
2021-03-17,Idaho,16,176589,1937
2021-03-17,Illinois,17,1217258,23255
2021-03-17,Indiana,18,677705,12893
2021-03-17,Iowa,19,344267,5668
2021-03-17,Kansas,20,301763,4837
2021-03-17,Kentucky,21,421780,5197
2021-03-17,Louisiana,22,439002,9955
2021-03-17,Maine,23,47591,725
2021-03-17,Maryland,24,395817,8099
2021-03-17,Massachusetts,25,606377,16732
2021-03-17,Michigan,26,680273,16800
2021-03-17,Minnesota,27,500030,6824
2021-03-17,Mississippi,28,301602,6936
2021-03-17,Missouri,29,576363,8806
2021-03-17,Montana,30,102602,1398
2021-03-17,Nebraska,31,205896,2238
2021-03-17,Nevada,32,300190,5148
2021-03-17,New Hampshire,33,79367,1202
2021-03-17,New Jersey,34,848875,24004
2021-03-17,New Mexico,35,188907,3874
2021-03-17,New York,36,1762032,48686
2021-03-17,North Carolina,37,894250,11783
2021-03-17,North Dakota,38,101315,1490
2021-03-17,Northern Mariana Islands,69,157,2
2021-03-17,Ohio,39,993681,17992
2021-03-17,Oklahoma,40,433516,4788
2021-03-17,Oregon,41,160348,2358
2021-03-17,Pennsylvania,42,979065,24749
2021-03-17,Puerto Rico,72,136962,2085
2021-03-17,Rhode Island,44,132184,2588
2021-03-17,South Carolina,45,536100,8933
2021-03-17,South Dakota,46,114966,1915
2021-03-17,Tennessee,47,781593,11555
2021-03-17,Texas,48,2742767,47000
2021-03-17,Utah,49,379780,2037
2021-03-17,Vermont,50,17106,217
2021-03-17,Virgin Islands,78,2767,25
2021-03-17,Virginia,51,598468,10154
2021-03-17,Washington,53,354774,5212
2021-03-17,West Virginia,54,136334,2565
2021-03-17,Wisconsin,55,627266,7203
2021-03-17,Wyoming,56,55449,693
