date,state,fips,cases,deaths
2020-12-02,Alabama,01,256828,3711
2020-12-02,Alaska,02,33614,116
2020-12-02,Arizona,04,342925,6755
2020-12-02,Arkansas,05,161521,2522
2020-12-02,California,06,1272041,19440
2020-12-02,Colorado,08,243324,3226
2020-12-02,Connecticut,09,121426,5091
2020-12-02,Delaware,10,36698,779
2020-12-02,District of Columbia,11,21842,690
2020-12-02,Florida,12,1018152,18775
2020-12-02,Georgia,13,464417,9301
2020-12-02,Guam,66,7889,113
2020-12-02,Hawaii,15,18117,242
2020-12-02,Idaho,16,105250,1002
2020-12-02,Illinois,17,750208,13433
2020-12-02,Indiana,18,353722,5973
2020-12-02,Iowa,19,236159,2518
2020-12-02,Kansas,20,164981,1679
2020-12-02,Kentucky,21,191067,2124
2020-12-02,Louisiana,22,241335,6501
2020-12-02,Maine,23,12208,218
2020-12-02,Maryland,24,203672,4715
2020-12-02,Massachusetts,25,234232,10824
2020-12-02,Michigan,26,402255,9839
2020-12-02,Minnesota,27,327536,3751
2020-12-02,Mississippi,28,156868,3851
2020-12-02,Missouri,29,321411,4185
2020-12-02,Montana,30,64399,713
2020-12-02,Nebraska,31,132530,1132
2020-12-02,Nevada,32,157586,2225
2020-12-02,New Hampshire,33,22332,537
2020-12-02,New Jersey,34,348042,17145
2020-12-02,New Mexico,35,100963,1629
2020-12-02,New York,36,669016,34286
2020-12-02,North Carolina,37,372525,5406
2020-12-02,North Dakota,38,80141,972
2020-12-02,Northern Mariana Islands,69,106,2
2020-12-02,Ohio,39,437928,6671
2020-12-02,Oklahoma,40,202341,1812
2020-12-02,Oregon,41,78206,962
2020-12-02,Pennsylvania,42,381342,10803
2020-12-02,Puerto Rico,72,87323,1144
2020-12-02,Rhode Island,44,59005,1391
2020-12-02,South Carolina,45,220835,4444
2020-12-02,South Dakota,46,82203,995
2020-12-02,Tennessee,47,375995,4635
2020-12-02,Texas,48,1294064,22422
2020-12-02,Utah,49,202220,906
2020-12-02,Vermont,50,4461,74
2020-12-02,Virgin Islands,78,1589,23
2020-12-02,Virginia,51,242480,4113
2020-12-02,Washington,53,177929,2979
2020-12-02,West Virginia,54,49905,778
2020-12-02,Wisconsin,55,420930,3715
2020-12-02,Wyoming,56,34507,230
