date,state,fips,cases,deaths
2021-04-03,Alabama,01,516615,10637
2021-04-03,Alaska,02,62987,299
2021-04-03,Arizona,04,843838,16991
2021-04-03,Arkansas,05,330970,5641
2021-04-03,California,06,3678212,59648
2021-04-03,Colorado,08,469052,6187
2021-04-03,Connecticut,09,313956,7904
2021-04-03,Delaware,10,96077,1565
2021-04-03,District of Columbia,11,44932,1070
2021-04-03,Florida,12,2077024,33651
2021-04-03,Georgia,13,1039632,18623
2021-04-03,Guam,66,8785,137
2021-04-03,Hawaii,15,30246,464
2021-04-03,Idaho,16,181309,1969
2021-04-03,Illinois,17,1257605,23635
2021-04-03,Indiana,18,693258,13074
2021-04-03,Iowa,19,353207,5822
2021-04-03,Kansas,20,305137,4932
2021-04-03,Kentucky,21,432287,6210
2021-04-03,Louisiana,22,445469,10161
2021-04-03,Maine,23,51468,745
2021-04-03,Maryland,24,415845,8342
2021-04-03,Massachusetts,25,643232,17281
2021-04-03,Michigan,26,768303,17249
2021-04-03,Minnesota,27,526345,6953
2021-04-03,Mississippi,28,305991,7055
2021-04-03,Missouri,29,587144,8988
2021-04-03,Montana,30,105092,1465
2021-04-03,Nebraska,31,211731,2287
2021-04-03,Nevada,32,304931,5274
2021-04-03,New Hampshire,33,85448,1247
2021-04-03,New Jersey,34,923394,24632
2021-04-03,New Mexico,35,192152,3951
2021-04-03,New York,36,1896534,50042
2021-04-03,North Carolina,37,921917,12161
2021-04-03,North Dakota,38,103609,1498
2021-04-03,Northern Mariana Islands,69,159,2
2021-04-03,Ohio,39,1024011,18643
2021-04-03,Oklahoma,40,439149,4953
2021-04-03,Oregon,41,166480,2406
2021-04-03,Pennsylvania,42,1043693,25243
2021-04-03,Puerto Rico,72,143022,2126
2021-04-03,Rhode Island,44,138255,2630
2021-04-03,South Carolina,45,555274,9196
2021-04-03,South Dakota,46,118361,1938
2021-04-03,Tennessee,47,799450,11809
2021-04-03,Texas,48,2801550,48831
2021-04-03,Utah,49,387057,2132
2021-04-03,Vermont,50,19905,229
2021-04-03,Virgin Islands,78,2907,26
2021-04-03,Virginia,51,623881,10287
2021-04-03,Washington,53,370362,5326
2021-04-03,West Virginia,54,143106,2693
2021-04-03,Wisconsin,55,638777,7342
2021-04-03,Wyoming,56,56447,700
