date,state,fips,cases,deaths
2021-03-19,Alabama,01,510579,10425
2021-03-19,Alaska,02,60683,296
2021-03-19,Arizona,04,835056,16695
2021-03-19,Arkansas,05,328273,5529
2021-03-19,California,06,3638515,57391
2021-03-19,Colorado,08,450349,6142
2021-03-19,Connecticut,09,296691,7832
2021-03-19,Delaware,10,91635,1522
2021-03-19,District of Columbia,11,43034,1047
2021-03-19,Florida,12,1999249,32650
2021-03-19,Georgia,13,1017114,17903
2021-03-19,Guam,66,8749,135
2021-03-19,Hawaii,15,28678,449
2021-03-19,Idaho,16,177292,1944
2021-03-19,Illinois,17,1222043,23304
2021-03-19,Indiana,18,679529,12922
2021-03-19,Iowa,19,345304,5673
2021-03-19,Kansas,20,302223,4842
2021-03-19,Kentucky,21,423499,5744
2021-03-19,Louisiana,22,439737,9988
2021-03-19,Maine,23,48070,728
2021-03-19,Maryland,24,398083,8132
2021-03-19,Massachusetts,25,610481,16803
2021-03-19,Michigan,26,687603,16848
2021-03-19,Minnesota,27,502961,6839
2021-03-19,Mississippi,28,302316,6945
2021-03-19,Missouri,29,577715,8813
2021-03-19,Montana,30,102900,1410
2021-03-19,Nebraska,31,206470,2243
2021-03-19,Nevada,32,300709,5161
2021-03-19,New Hampshire,33,79996,1213
2021-03-19,New Jersey,34,857739,24103
2021-03-19,New Mexico,35,189374,3884
2021-03-19,New York,36,1772624,48848
2021-03-19,North Carolina,37,898510,11833
2021-03-19,North Dakota,38,101545,1491
2021-03-19,Northern Mariana Islands,69,157,2
2021-03-19,Ohio,39,997336,18340
2021-03-19,Oklahoma,40,434491,4788
2021-03-19,Oregon,41,161068,2369
2021-03-19,Pennsylvania,42,985595,24817
2021-03-19,Puerto Rico,72,137510,2092
2021-03-19,Rhode Island,44,133039,2595
2021-03-19,South Carolina,45,538801,8966
2021-03-19,South Dakota,46,115518,1919
2021-03-19,Tennessee,47,784120,11606
2021-03-19,Texas,48,2750088,47365
2021-03-19,Utah,49,380844,2058
2021-03-19,Vermont,50,17393,217
2021-03-19,Virgin Islands,78,2767,25
2021-03-19,Virginia,51,602182,10092
2021-03-19,Washington,53,356637,5224
2021-03-19,West Virginia,54,137092,2600
2021-03-19,Wisconsin,55,628634,7225
2021-03-19,Wyoming,56,55581,693
