date,state,fips,cases,deaths
2021-02-11,Alabama,01,477570,9021
2021-02-11,Alaska,02,55850,269
2021-02-11,Arizona,04,792695,14690
2021-02-11,Arkansas,05,311043,5199
2021-02-11,California,06,3460320,45976
2021-02-11,Colorado,08,411997,5881
2021-02-11,Connecticut,09,266499,7354
2021-02-11,Delaware,10,81875,1262
2021-02-11,District of Columbia,11,38533,973
2021-02-11,Florida,12,1806797,28381
2021-02-11,Georgia,13,931043,15050
2021-02-11,Guam,66,8655,131
2021-02-11,Hawaii,15,26591,421
2021-02-11,Idaho,16,167026,1793
2021-02-11,Illinois,17,1158595,21985
2021-02-11,Indiana,18,648183,12027
2021-02-11,Iowa,19,327432,5196
2021-02-11,Kansas,20,288003,4303
2021-02-11,Kentucky,21,388867,4375
2021-02-11,Louisiana,22,417415,9239
2021-02-11,Maine,23,42058,641
2021-02-11,Maryland,24,368044,7467
2021-02-11,Massachusetts,25,551396,15269
2021-02-11,Michigan,26,626152,16009
2021-02-11,Minnesota,27,470871,6411
2021-02-11,Mississippi,28,284664,6390
2021-02-11,Missouri,29,506647,7798
2021-02-11,Montana,30,96938,1322
2021-02-11,Nebraska,31,196172,2117
2021-02-11,Nevada,32,286527,4640
2021-02-11,New Hampshire,33,69612,1117
2021-02-11,New Jersey,34,736330,22329
2021-02-11,New Mexico,35,179323,3481
2021-02-11,New York,36,1514327,44992
2021-02-11,North Carolina,37,815182,10336
2021-02-11,North Dakota,38,98383,1460
2021-02-11,Northern Mariana Islands,69,133,2
2021-02-11,Ohio,39,931437,12577
2021-02-11,Oklahoma,40,409401,3948
2021-02-11,Oregon,41,149082,2067
2021-02-11,Pennsylvania,42,890100,22908
2021-02-11,Puerto Rico,72,130251,1902
2021-02-11,Rhode Island,44,120381,2274
2021-02-11,South Carolina,45,476287,7837
2021-02-11,South Dakota,46,109859,1829
2021-02-11,Tennessee,47,737833,10721
2021-02-11,Texas,48,2543997,40661
2021-02-11,Utah,49,358581,1776
2021-02-11,Vermont,50,13249,188
2021-02-11,Virgin Islands,78,2505,25
2021-02-11,Virginia,51,541018,6958
2021-02-11,Washington,53,329170,4701
2021-02-11,West Virginia,54,126420,2187
2021-02-11,Wisconsin,55,604683,6725
2021-02-11,Wyoming,56,52979,647
